environment,move_state_weight,log_loss,roc_auc,brier_score,ece_10,prediction_mean,baseline_log_loss,baseline_roc_auc,baseline_brier_score,baseline_ece_10,baseline_prediction_mean,delta_log_loss_vs_v05_raw,delta_roc_auc_vs_v05_raw,delta_brier_score_vs_v05_raw,delta_ece_10_vs_v05_raw,delta_prediction_mean_vs_v05_raw,aggregation
V_objective,0.1,0.5930136373475279,0.6121133729383029,0.20217346997382504,0.05435798814295374,0.697560066234679,0.5931293908935709,0.6111627290369576,0.20216964574730012,0.05582548957824922,0.6983438400344641,-0.00011575354604300702,0.0009506439013453605,3.824226524917762e-06,-0.001467501435295482,-0.0007837737997850481,equal_fold_macro
V_objective,0.2,0.5933621256216447,0.612590559333604,0.20235791736798192,0.05120643643499687,0.6967762924348941,0.5931293908935709,0.6111627290369576,0.20216964574730012,0.05582548957824922,0.6983438400344641,0.00023273472807388006,0.0014278302966463708,0.00018827162068180692,-0.0046190531432523455,-0.0015675475995700738,equal_fold_macro
V_objective,0.3,0.5941541537585697,0.6121868464892927,0.20272298792977086,0.05026652060144744,0.6959925186351089,0.5931293908935709,0.6111627290369576,0.20216964574730012,0.05582548957824922,0.6983438400344641,0.0010247628649989737,0.0010241174523351714,0.000553342182470723,-0.005558968976801776,-0.002351321399355255,equal_fold_macro
V_seen,0.1,0.5511917176376122,0.7237955265761504,0.1851640750433477,0.050392118863672467,0.7045662247947834,0.5481992629754101,0.7241273086608769,0.18403128504018273,0.04257802717813193,0.7048033577264278,0.002992454662202104,-0.0003317820847265507,0.001132790003164974,0.00781409168554054,-0.00023713293164437932,equal_fold_macro
V_seen,0.2,0.5548259810789341,0.7226623178038639,0.18657833437699234,0.059025224944715494,0.7043290918631391,0.5481992629754101,0.7241273086608769,0.18403128504018273,0.04257802717813193,0.7048033577264278,0.006626718103524065,-0.0014649908570130376,0.0025470493368096093,0.01644719776658356,-0.0004742658632887808,equal_fold_macro
V_seen,0.3,0.5590767273524271,0.7202122447281074,0.18827406304111666,0.0659509646602969,0.7040919589314945,0.5481992629754101,0.7241273086608769,0.18403128504018273,0.04257802717813193,0.7048033577264278,0.010877464377016954,-0.003915063932769547,0.004242778000933906,0.023372937482164974,-0.0007113987949332934,equal_fold_macro
V_style,0.1,0.5515689596067197,0.7226083090697027,0.18535404988379267,0.0507633989703456,0.7056831336872627,0.5486646321694255,0.7227568949039631,0.18426223619680723,0.04139849270884684,0.706044387481654,0.002904327437294163,-0.00014858583426027305,0.0010918136869854378,0.00936490626149877,-0.0003612537943913807,equal_fold_macro
V_style,0.2,0.5551117754536408,0.7216818972467773,0.18672529895467097,0.05934022669150848,0.7053218798928713,0.5486646321694255,0.7227568949039631,0.18426223619680723,0.04139849270884684,0.706044387481654,0.00644714328421514,-0.0010749976571856612,0.00246306275786371,0.017941733982661648,-0.0007225075887826504,equal_fold_macro
V_style,0.3,0.5592666823479027,0.7195304982975204,0.188375983409442,0.06633708017543825,0.7049606260984799,0.5486646321694255,0.7227568949039631,0.18426223619680723,0.04139849270884684,0.706044387481654,0.010602050178477129,-0.003226396606442683,0.004113747212634767,0.024938587466591423,-0.001083761383174142,equal_fold_macro
