environment,move_state_weight,fold,rows,log_loss,baseline_log_loss,delta_log_loss_vs_v05_raw,roc_auc,baseline_roc_auc,delta_roc_auc_vs_v05_raw,brier_score,baseline_brier_score,delta_brier_score_vs_v05_raw,ece_10,baseline_ece_10,delta_ece_10_vs_v05_raw,prediction_mean,baseline_prediction_mean,delta_prediction_mean_vs_v05_raw
V_objective,0.1,0,7015,0.5569531034325944,0.5548630339550444,0.0020900694775499717,0.6958531129122463,0.696278509105293,-0.00042539619304671206,0.18623388463418553,0.18537796419248348,0.0008559204417020461,0.06561066492642906,0.06358913560784536,0.0020215293185836952,0.6875586788516866,0.6871298626228958,0.00042881622879087367
V_objective,0.1,1,7015,0.6368563779613509,0.6391365589526087,-0.0022801809912578186,0.5504715166577694,0.5493643459275388,0.0011071707302305889,0.22197140452559952,0.2228021159327865,-0.0008307114071869903,0.05395584555190882,0.05793274535289894,-0.0039768998009901205,0.7157379653887063,0.7184471866863391,-0.0027092212976328467
V_objective,0.1,2,7015,0.5229959015816339,0.5209265770868202,0.0020693244948136735,0.6609716287090966,0.6607540137226,0.00021761498649663924,0.1706358122268941,0.16998226775334854,0.0006535444735455698,0.07691946319404429,0.07321818113910401,0.0037012820549402747,0.6989893037339672,0.7026905857889073,-0.003701282054940136
V_objective,0.1,3,7016,0.619795600539782,0.6225975733522998,-0.0028019728125178167,0.5393681176323126,0.536531863719184,0.0028362539131285835,0.2135486416227049,0.21452364704445112,-0.0009750054217462223,0.04330227235644142,0.04920707334335883,-0.005904800986917411,0.7066707502931698,0.7080879221964945,-0.0014171719033246877
V_objective,0.1,4,7011,0.6284672032222778,0.6281232111210808,0.0003439921011969549,0.6139024887800897,0.612884912710172,0.0010175760699177028,0.21847760685974116,0.21816223381343097,0.0003153730463101856,0.03200169468594509,0.03518031244803894,-0.003178617762093848,0.6788436329058657,0.6753636428776841,0.0034799900281815566
V_objective,0.2,0,7015,0.5594108884118246,0.5548630339550444,0.004547854456780187,0.6944032376884092,0.696278509105293,-0.001875271416883817,0.18726031671452006,0.18537796419248348,0.0018823525220365844,0.0631922149731498,0.06358913560784536,-0.00039692063469556893,0.6879874950804777,0.6871298626228958,0.0008576324575819694
V_objective,0.2,1,7015,0.6350438907054134,0.6391365589526087,-0.00409266824719523,0.551230550676227,0.5493643459275388,0.0018662047486881495,0.22128713829994337,0.2228021159327865,-0.0015149776328431397,0.04821839524619079,0.05793274535289894,-0.009714350106708153,0.7130287440910735,0.7184471866863391,-0.005418442595265582
V_objective,0.2,2,7015,0.525511837403438,0.5209265770868202,0.0045852603166177675,0.6602478426664684,0.6607540137226,-0.0005061710561315991,0.17150227850097646,0.16998226775334854,0.00152001074762792,0.08062074524898465,0.07321818113910401,0.007402564109880633,0.6952880216790269,0.7026905857889073,-0.007402564109880383
V_objective,0.2,3,7016,0.6175342971439828,0.6225975733522998,-0.005063276208317036,0.5424336564211993,0.536531863719184,0.005901792702015296,0.21273808945816383,0.21452364704445112,-0.0017855575862872897,0.03208370783765254,0.04920707334335883,-0.01712336550570629,0.705253578389845,0.7080879221964945,-0.0028343438066494864
V_objective,0.2,4,7011,0.6293097144435645,0.6281232111210808,0.0011865033224837118,0.6146375092157158,0.612884912710172,0.0017525965055438242,0.21900176386630593,0.21816223381343097,0.0008395300528749594,0.03191711886900659,0.03518031244803894,-0.0032631935790323474,0.6823236229340472,0.6753636428776841,0.006959980056363113
V_objective,0.3,0,7015,0.5622333367382951,0.5548630339550444,0.007370302783250682,0.6911601461427452,0.696278509105293,-0.005118362962547751,0.18845726043348723,0.18537796419248348,0.003079296241003754,0.06365337195852566,0.06358913560784536,6.423635068029954e-05,0.6884163113092684,0.6871298626228958,0.001286448686372621
V_objective,0.3,1,7015,0.6336673152875325,0.6391365589526087,-0.005469243665076173,0.5515460149606491,0.5493643459275388,0.002181669033110345,0.22074931725581814,0.2228021159327865,-0.002052798676968365,0.04288824320341185,0.05793274535289894,-0.01504450214948709,0.7103195227934407,0.7184471866863391,-0.008127663892898429
V_objective,0.3,2,7015,0.5284491080704722,0.5209265770868202,0.007522530983651965,0.6577742544875202,0.6607540137226,-0.0029797592350797597,0.17258166657559568,0.16998226775334854,0.0025993988222471343,0.08432202730392499,0.07321818113910401,0.011103846164820977,0.6915867396240863,0.7026905857889073,-0.011103846164820963
V_objective,0.3,3,7016,0.6157693435414336,0.6225975733522998,-0.006828229810866171,0.5456884507679515,0.536531863719184,0.009156587048767428,0.21209199055082786,0.21452364704445112,-0.0024316564936232576,0.02489042249770998,0.04920707334335883,-0.02431665084564885,0.7038364064865202,0.7080879221964945,-0.004251515709974285
V_objective,0.3,4,7011,0.6306516651551154,0.6281232111210808,0.0025284540340345663,0.6147653660875976,0.612884912710172,0.001880453377425595,0.21973470483312532,0.21816223381343097,0.0015724710196943492,0.035578538043664724,0.03518031244803894,0.00039822559562578685,0.6858036129622289,0.6753636428776841,0.01043997008454478
V_seen,0.1,0,7002,0.5542084423547938,0.5513862711631964,0.0028221711915974446,0.7205305613720501,0.7204806710385742,4.989033347591043e-05,0.18647840114633019,0.18540234172396725,0.0010760594223629405,0.047359876714647045,0.03959295972198391,0.007766916992663138,0.7065903250756208,0.7070718043890095,-0.00048147931338871075
V_seen,0.1,1,7004,0.5510558337738989,0.5477236447362058,0.0033321890376930563,0.7316051479889869,0.7321455147523905,-0.0005403667634036324,0.1851529714072196,0.18385844058536474,0.0012945308218548501,0.05636548636623675,0.05014448554211016,0.006221000824126591,0.705891373722746,0.7062074694334762,-0.00031609571073021314
V_seen,0.1,2,7001,0.5453222156091488,0.5419734178609484,0.003348797748200405,0.7359422867291897,0.7357877213837778,0.0001545653454119167,0.1826715380820292,0.18140668405827262,0.0012648540237565897,0.06004374656186218,0.05177586262675685,0.00826788393510533,0.7039262748331725,0.7040355449694728,-0.00010927013630035454
V_seen,0.1,3,7001,0.5499926315966226,0.547015477442554,0.0029771541540686286,0.7185624756532223,0.7192375879191929,-0.0006751122659706121,0.18468449277733995,0.18363109582604759,0.0010533969512923624,0.046135635485645414,0.03799844582454399,0.008137189661101427,0.7032680121083223,0.7034436096439471,-0.00017559753562479408
V_seen,0.1,4,6998,0.5553794648535968,0.5528975036741458,0.0024819611794509866,0.7123371611373029,0.7129850482104493,-0.000647887073146336,0.1868329718038196,0.18585786300726148,0.0009751087965581273,0.042055849189970955,0.033378382175264745,0.00867746701470621,0.7031551382340553,0.7032583601962331,-0.00010322196217782409
V_seen,0.2,0,7002,0.5576627807719199,0.5513862711631964,0.006276509608723502,0.7198735425640739,0.7204806710385742,-0.0006071284745002847,0.18782949434607496,0.18540234172396725,0.0024271526221077144,0.05751545654730854,0.03959295972198391,0.01792249682532463,0.7061088457622322,0.7070718043890095,-0.0009629586267773105
V_seen,0.2,1,7004,0.5550224446807028,0.5477236447362058,0.007298799944497003,0.7301614569768451,0.7321455147523905,-0.0019840577755454447,0.18672360862194248,0.18385844058536474,0.002865168036577742,0.06477382116166826,0.05014448554211016,0.0146293356195581,0.7055752780120157,0.7062074694334762,-0.0006321914214605373
V_seen,0.2,2,7001,0.5492671003836157,0.5419734178609484,0.007293682522667266,0.7354499094730643,0.7357877213837778,-0.0003378119107134703,0.1842109521976878,0.18140668405827262,0.0028042681394151725,0.06968037385232426,0.05177586262675685,0.01790451122556741,0.7038170046968724,0.7040355449694728,-0.00021854027260048703
V_seen,0.2,3,7001,0.5535930036262032,0.547015477442554,0.006577526183649263,0.716954455918202,0.7192375879191929,-0.0022831320009909506,0.18602466048661281,0.18363109582604759,0.0023935646605652283,0.05165500109655679,0.03799844582454399,0.013656555272012802,0.7030924145726974,0.7034436096439471,-0.0003511950712496992
V_seen,0.2,4,6998,0.5585845759322291,0.5528975036741458,0.005687072258083292,0.7108722240871342,0.7129850482104493,-0.002112824123315038,0.18810295623264367,0.18585786300726148,0.0022450932253821887,0.051501472065719596,0.033378382175264745,0.01812308989045485,0.7030519162718772,0.7032583601962331,-0.00020644392435587022
V_seen,0.3,0,7002,0.561724071302345,0.5513862711631964,0.010337800139148645,0.7180701137781085,0.7204806710385742,-0.0024105572604656844,0.18945562132320157,0.18540234172396725,0.004053279599234322,0.06478635509065646,0.03959295972198391,0.02519339536867255,0.7056273664488434,0.7070718043890095,-0.0014444379401661323
V_seen,0.3,1,7004,0.5595995644616499,0.5477236447362058,0.011875919725444106,0.7273962557825153,0.7321455147523905,-0.004749258969875214,0.1885703522295334,0.18385844058536474,0.004711911644168648,0.06990741492188145,0.05014448554211016,0.01976292937977129,0.7052591823012855,0.7062074694334762,-0.0009482871321907504
